,bus_id,x,y,average_marginal_price,max_marginal_price,total_load_shedding_mwh,max_load_shedding_mw,worst_shedding_snapshot,scenario,wind_condition,transmission_setting
12855,DE0 225 battery,8.93970226,52.4031828,98689.61329675624,98689.62059342432,0.11716533514743728,0.0048819133720518606,2025-04-08 00:00:00,scenario1,notwindy,fixed
12856,DE0 153 battery,9.70438958,48.46492319,98682.5484072672,98682.56205787107,0.11694967915384744,0.004872950417351645,2025-04-08 00:00:00,scenario1,notwindy,fixed
12857,DE0 207 battery,9.80126643,47.65287074,98673.36123530101,98673.37580139724,0.11618421850714766,0.004841057372046504,2025-04-08 23:00:00,scenario1,notwindy,fixed
12858,DE0 124 battery,7.60686086,51.89868294,98669.34290023726,98669.34978527462,0.11531041338157405,0.004804628739312849,2025-04-08 03:00:00,scenario1,notwindy,fixed
12859,DE0 174 battery,9.12487772,52.53736948,98662.13411415524,98662.14204897793,0.11476336010413585,0.00478183282277146,2025-04-08 02:00:00,scenario1,notwindy,fixed
12860,DE0 425 battery,9.00027541,52.537614,98660.72434387727,98660.73230900208,0.11462147882030126,0.004775915444442206,2025-04-08 02:00:00,scenario1,notwindy,fixed
12861,DE0 39 battery,8.981146,52.558759,98657.02217251873,98657.03029632142,0.11428524615785668,0.004761910317359315,2025-04-08 02:00:00,scenario1,notwindy,fixed
12862,DE0 438 battery,8.9802554,52.577227,98654.45209590881,98654.4603166535,0.11406940628506182,0.0047529143925096485,2025-04-08 02:00:00,scenario1,notwindy,fixed
12863,DE0 48 battery,10.76126228,52.36743734,98649.02125152429,98649.0380230911,0.11370373721516089,0.004737714631019508,2025-04-08 00:00:00,scenario1,notwindy,fixed
12864,DE0 240 battery,7.4842531,51.95592941,98648.63153959923,98648.63912247116,0.11338750698137952,0.004724505787031119,2025-04-08 03:00:00,scenario1,notwindy,fixed
12865,DE0 169 battery,9.44693531,49.59024813,98640.24647361929,98640.26399201408,0.11321417922363543,0.00471731560887533,2025-04-08 23:00:00,scenario1,notwindy,fixed
12866,DE0 128 battery,9.14512813,52.85278466,98628.48082386986,98628.48986990021,0.11199107753533116,0.004666322339722811,2025-04-08 03:00:00,scenario1,notwindy,fixed
12867,DE0 112 battery,9.98871443,53.76608333,98627.2911204938,98627.3012150395,0.11188601788741424,0.004661951069254457,2025-04-08 03:00:00,scenario1,notwindy,fixed
12868,DE0 351 battery,8.89562534,52.56398074,98626.90036333822,98626.90966626497,0.11186502001267463,0.004661067622876085,2025-04-08 03:00:00,scenario1,notwindy,fixed
12869,DE0 349 battery,9.984203,53.74142782,98626.54478128471,98626.5549092938,0.11181884785941888,0.0046591496964817816,2025-04-08 03:00:00,scenario1,notwindy,fixed
12870,DE0 70 battery,9.77602956,53.69077361,98624.99100642832,98625.0012208682,0.1116789432194609,0.004653321058645441,2025-04-08 03:00:00,scenario1,notwindy,fixed
12871,DE0 267 battery,9.6379897,53.6426478,98623.90259531385,98623.91286377545,0.11157913973951124,0.004649162731844756,2025-04-08 03:00:00,scenario1,notwindy,fixed
12872,DE0 142 battery,9.55322365,53.56315744,98623.12166266043,98623.13197239273,0.11150767146370974,0.004646184256000717,2025-04-08 02:00:00,scenario1,notwindy,fixed
12873,DE0 434 battery,9.52427847,53.54646034,98622.87805136591,98622.88837791105,0.11149023462284266,0.0046454579947898785,2025-04-08 02:00:00,scenario1,notwindy,fixed
12874,DE0 383 battery,9.50168246,53.5423403,98622.73380060722,98622.74412573395,0.1114850939829392,0.004645243138165635,2025-04-08 02:00:00,scenario1,notwindy,fixed
12875,DE0 432 battery,9.3886907,53.3384205,98620.91568332321,98620.9260589047,0.11132651198274698,0.0046386364828183415,2025-04-08 02:00:00,scenario1,notwindy,fixed
12876,DE0 199 battery,9.3837797,53.3146739,98620.80453836596,98620.81491759997,0.1113186709400798,0.004638309905937023,2025-04-08 02:00:00,scenario1,notwindy,fixed
12877,DE0 175 battery,9.25142551,53.11465387,98619.06101594679,98619.07142448147,0.1111778899882058,0.004632443838799035,2025-04-08 02:00:00,scenario1,notwindy,fixed
12878,DE0 37 battery,10.1562807,54.27552301,98615.72032033764,98615.73134201253,0.11095461272444168,0.004623143454968216,2025-04-08 03:00:00,scenario1,notwindy,fixed
12879,DE0 237 battery,10.0604028,54.34872745,98615.72903924371,98615.74006445323,0.11094594117945322,0.004622780826004467,2025-04-08 04:00:00,scenario1,notwindy,fixed
12880,DE0 160 battery,9.72660034,54.28733341,98615.59875503475,98615.60980620634,0.11092609253990632,0.004621949839351658,2025-04-08 03:00:00,scenario1,notwindy,fixed
12881,DE0 182 battery,9.31578777,54.72840681,98615.63015287124,98615.64119070368,0.11092386178331315,0.004621860344361276,2025-04-08 04:00:00,scenario1,notwindy,fixed
12882,DE0 62 battery,9.43427927,54.52199908,98615.63430450548,98615.64535382637,0.11092366140427287,0.004621848717034291,2025-04-08 04:00:00,scenario1,notwindy,fixed
12883,DE0 246 battery,9.50129911,53.84793735,98612.16431052833,98612.17562566455,0.11064638467281014,0.004610299219110886,2025-04-08 02:00:00,scenario1,notwindy,fixed
12884,DE0 393 battery,9.34684199,53.92325646,98607.86913511688,98607.88086926614,0.1103014136660905,0.004595924702122119,2025-04-08 02:00:00,scenario1,notwindy,fixed
12885,DE0 108 battery,9.3557308,53.8783433,98607.57516482641,98607.58692487702,0.11027736855021668,0.004594923273374502,2025-04-08 02:00:00,scenario1,notwindy,fixed
12886,DE0 417 battery,9.34378835,53.85166268,98607.36289103433,98607.37466839577,0.11026027348454018,0.004594211797713509,2025-04-08 02:00:00,scenario1,notwindy,fixed
12887,DE0 391 battery,9.4596775,53.8646575,98605.55400305816,98605.56591959774,0.11010940499839492,0.004587926353984866,2025-04-08 02:00:00,scenario1,notwindy,fixed
12888,DE0 319 battery,9.44897395,53.96767299,98604.60366513375,98604.61568927423,0.11001163676930246,0.0045838521064753375,2025-04-08 02:00:00,scenario1,notwindy,fixed
12889,DE0 403 battery,9.23541721,53.91689059,98603.57208007872,98603.58421729083,0.10995423904553137,0.004581459566595884,2025-04-08 02:00:00,scenario1,notwindy,fixed
12890,DE0 439 battery,7.381831,52.1789704,98606.45371751142,98606.46317738638,0.10990726249804897,0.004579499407288799,2025-04-08 04:00:00,scenario1,notwindy,fixed
